Hour,demand
9,0.671669712
10,0.723527364
11,0.765161403
12,0.787609849
13,0.815148351
14,0.816888541
15,0.809231706
16,0.818846254
17,0.853127991
18,0.851431306
19,0.836552684
20,0.828591316
21,0.817367093
22,0.774297398
23,0.718959367
24,0.669886018
1,0.628425998
2,0.610980597
3,0.606369094
4,0.608370312
5,0.627033847
6,0.660663012
7,0.702862612
8,0.761594014
9,0.809840773
10,0.860393283
11,0.899808579
12,0.924736796
13,0.935438963
14,0.93935439
15,0.953493431
16,0.969677195
17,0.975724354
18,0.964239102
19,0.943269816
20,0.938223266
21,0.92495432
22,0.864656748
23,0.808579135
24,0.752545027
1,0.718698338
2,0.687113895
3,0.668319847
4,0.660967545
5,0.669189942
6,0.711172018
7,0.766249021
8,0.808405116
9,0.842121291
10,0.86935526
11,0.88871487
12,0.903985034
13,0.899156008
14,0.898111894
15,0.895936657
16,0.907682937
17,0.924084225
18,0.921169407
19,0.925737405
20,0.916427391
21,0.897850866
22,0.851518315
23,0.784259984
24,0.725311059
1,0.68633081
2,0.656182024
3,0.63569129
4,0.637910032
5,0.673844949
6,0.701600975
7,0.745279735
8,0.780214043
9,0.818193683
10,0.851735839
11,0.906943357
12,0.932437136
13,0.93256765
14,0.940137475
15,0.935917515
16,0.957930914
17,0.958931524
18,0.941094579
19,0.909205603
20,0.905159662
21,0.898285913
22,0.840294092
23,0.772818237
24,0.719611938
1,0.680501175
2,0.649960846
3,0.637953537
4,0.633037501
5,0.652223092
6,0.689811189
7,0.741364309
8,0.782911337
9,0.801052815
10,0.821326025
11,0.850909249
12,0.876751066
13,0.891586183
14,0.908292004
15,0.91568781
16,0.928652223
17,0.943095797
18,0.945532063
19,0.934351344
20,0.916688419
21,0.900504655
22,0.848951536
23,0.787000783
24,0.724571478
1,0.689419647
2,0.657530671
3,0.639432698
4,0.640259288
5,0.657574176
6,0.692334464
7,0.746715392
8,0.801139824
9,0.847167841
10,0.888018794
11,0.908814061
12,0.912511964
13,0.921038893
14,0.926302967
15,0.923736187
16,0.917993561
17,0.924388758
18,0.929913861
19,0.90046115
20,0.862263987
21,0.830331506
22,0.778604368
23,0.717741234
24,0.656356043
1,0.618680936
2,0.590663882
3,0.560602106
4,0.549508396
5,0.545418951
6,0.54807274
7,0.578787088
8,0.609979988
9,0.641129383
10,0.654789872
11,0.669973027
12,0.674454015
13,0.671278169
14,0.668754894
15,0.678891499
16,0.705472897
17,0.727486296
18,0.739145567
19,0.723875402
20,0.703515183
21,0.683241973
22,0.648612199
23,0.604150352
24,0.565518141
1,0.536805012
2,0.518750544
3,0.505786131
4,0.498738362
5,0.498738362
6,0.503436875
7,0.507482816
8,0.529887758
9,0.566388236
10,0.582441486
11,0.601888106
12,0.615635604
13,0.625380666
14,0.635430262
15,0.651396502
16,0.683981554
17,0.73266336
18,0.756025407
19,0.748412077
20,0.727312277
21,0.711128513
22,0.672365788
23,0.623770991
24,0.581397372
1,0.546202036
2,0.530888367
3,0.523188027
4,0.525537284
5,0.541503524
6,0.571130253
7,0.610284521
8,0.646436962
9,0.686200296
10,0.71082398
11,0.727573305
12,0.743713565
13,0.759201253
14,0.767597668
15,0.772209171
16,0.778560863
17,0.794875141
18,0.791873314
19,0.7816497
20,0.779953015
21,0.764508831
22,0.718959367
23,0.669581484
24,0.62725137
1,0.602714696
2,0.581440877
3,0.568215435
4,0.569477073
5,0.588227617
6,0.631601845
7,0.679326547
8,0.719959976
9,0.745758288
10,0.770686505
11,0.797528931
12,0.823979814
13,0.84651527
14,0.865439833
15,0.871312973
16,0.889236927
17,0.912120421
18,0.913991125
19,0.89880797
20,0.886713652
21,0.863612634
22,0.805098756
23,0.74119029
24,0.689028104
1,0.646828504
2,0.623683982
3,0.609718959
4,0.604759419
5,0.61981206
6,0.656660576
7,0.700817889
8,0.742451927
9,0.769946924
10,0.796745845
11,0.819324806
12,0.836074132
13,0.855564257
14,0.875793962
15,0.888845384
16,0.905029148
17,0.915992343
18,0.905203167
19,0.89889498
20,0.901592274
21,0.873879753
22,0.813234143
